id,object_name,chain,object_type,address,number,street,district
84475,Старбакс,True,кафе,"город Москва, Каширское шоссе, дом 14",20,Каширское шоссе,Нагатино-Садовники
148710,ДОНЕР ХАУС,False,фастфуд,"город Москва, Россошанская улица, дом 1",0,Россошанская улица,Чертаново Южное
148471,Ресторан «Макдоналдс»,True,фастфуд,"город Москва, Липецкая улица, дом 2, корпус 7",98,Липецкая улица,Бирюлёво Восточное
152898,Фитнес-кафе,False,кафе,"город Москва, улица Красного Маяка, дом 22, корпус 5",32,улица Красного Маяка,Чертаново Центральное
132359,Кафе «La Carotte»,False,кафе,"1-й Нагатинский проезд, дом 10",198,1-й Нагатинский проезд,Нагатино-Садовники
140510,Ресторан «Клюква»,False,ресторан,"город Москва, 1-й Нагатинский проезд, дом 10, строение 1",100,1-й Нагатинский проезд,Нагатино-Садовники
139983,СушиШоп,True,кафе,"город Москва, Шипиловская улица, дом 36, корпус 1",5,Шипиловская улица,Орехово-Борисово Северное
82538,Ресторан Московский,False,ресторан,"город Москва, Шипиловская улица, дом 36, корпус 1",92,Шипиловская улица,Орехово-Борисово Северное
70470,Буфет «Иль Джорно»,False,буфет,"город Москва, Варшавское шоссе, дом 9, строение 1",7,Варшавское шоссе,Донской
69680,Кафе «Иль Джорно»,False,кафе,"город Москва, Варшавское шоссе, дом 9, строение 1",98,Варшавское шоссе,Донской
79549,Кафе «Мэри Джейн»,False,кафе,"город Москва, Варшавское шоссе, дом 9, строение 1",90,Варшавское шоссе,Донской
23641,Буфет «Артекс»,False,кафе,"город Москва, Варшавское шоссе, дом 9, строение 1",24,Варшавское шоссе,Донской
26945,Ёрш,True,ресторан,"город Москва, Варшавское шоссе, дом 86",98,Варшавское шоссе,Нагорный
